English;Turkish;Phonetic;TurkishPronunciation;SampleEn;SampleTr;CategoryId;Difficulty
apple;elma;/ˈæp.əl/;epıl;I eat an apple.;Ben bir elma yerim.;1;1
book;kitap;/bʊk/;buk;This book is interesting.;Bu kitap ilginç.;1;1
car;araba;/kɑːr/;kaar;My car is fast.;Arabam hızlı.;1;1
dog;köpek;/dɔːɡ/;dog;The dog is big.;Köpek büyük.;1;1
cat;kedi;/kæt/;ket;The cat is on the table.;Kedi masanın üstünde.;1;1
house;ev;/haʊs/;haus;My house is small.;Evim küçük.;1;1
school;okul;/skuːl/;skul;I go to school.;Okula giderim.;1;1
teacher;öğretmen;/ˈtiː.tʃər/;tiiçır;The teacher is kind.;Öğretmen nazik.;1;1
student;öğrenci;/ˈstuː.dənt/;studınt;The student studies.;Öğrenci ders çalışır.;1;1
water;su;/ˈwɔː.tər/;votır;I drink water.;Su içerim.;1;1
food;yemek;/fuːd/;fuud;The food is good.;Yemek iyi.;1;1
bread;ekmek;/bred/;bred;I eat bread.;Ekmek yerim.;1;1
milk;süt;/mɪlk/;milk;I drink milk.;Süt içerim.;1;1
table;masa;/ˈteɪ.bəl/;teybil;The book is on the table.;Kitap masanın üstünde.;1;1
chair;sandalye;/tʃer/;çer;The chair is old.;Sandalye eski.;1;1
door;kapı;/dɔːr/;door;Open the door.;Kapıyı aç.;1;1
window;pencere;/ˈwɪn.doʊ/;vindov;Close the window.;Pencereyi kapat.;1;1
city;şehir;/ˈsɪt.i/;siti;This city is big.;Bu şehir büyük.;1;1
country;ülke;/ˈkʌn.tri/;kantri;My country is beautiful.;Ülkem güzel.;1;1
friend;arkadaş;/frend/;frend;He is my friend.;O benim arkadaşım.;7;1
family;aile;/ˈfæm.əl.i/;femıli;I love my family.;Ailemi seviyorum.;7;1
mother;anne;/ˈmʌð.ər/;madır;My mother is happy.;Annem mutlu.;7;1
father;baba;/ˈfɑː.ðər/;faadır;My father works.;Babam çalışır.;7;1
sister;kız kardeş;/ˈsɪs.tər/;sistır;My sister is young.;Kız kardeşim genç.;7;1
brother;erkek kardeş;/ˈbrʌð.ər/;bradır;My brother plays.;Erkek kardeşim oynar.;7;1
name;isim;/neɪm/;neym;My name is Ali.;Benim adım Ali.;1;1
age;yaş;/eɪdʒ/;eyc;My age is 20.;Yaşım 20.;1;1
day;gün;/deɪ/;dey;Today is a good day.;Bugün iyi bir gün.;1;1
night;gece;/naɪt/;nayt;Good night!;İyi geceler!;1;1
morning;sabah;/ˈmɔːr.nɪŋ/;mornin;Good morning!;Günaydın!;1;1
evening;akşam;/ˈiːv.nɪŋ/;ivnin;Good evening!;İyi akşamlar!;1;1
today;bugün;/təˈdeɪ/;tıdey;Today is sunny.;Bugün güneşli.;1;1
tomorrow;yarın;/təˈmɑːr.oʊ/;tımarov;I will go tomorrow.;Yarın gideceğim.;1;1
yesterday;dün;/ˈjes.tər.deɪ/;yestırdey;I was at home yesterday.;Dün evdeydim.;1;1
yes;evet;/jes/;yes;Yes, I understand.;Evet, anlıyorum.;1;1
no;hayır;/noʊ/;no;No, I don’t want it.;Hayır, onu istemiyorum.;1;1
please;lütfen;/pliːz/;pliiz;Please help me.;Lütfen bana yardım et.;1;1
thank you;teşekkür ederim;/ˈθæŋk juː/;tenk yu;Thank you very much.;Çok teşekkür ederim.;7;1
sorry;üzgünüm;/ˈsɑːr.i/;sori;I am sorry.;Üzgünüm.;7;1
hello;merhaba;/həˈloʊ/;helou;Hello, how are you?;Merhaba, nasılsın?;7;1
goodbye;hoşça kal;/ˌɡʊdˈbaɪ/;gudbay;Goodbye, see you.;Hoşça kal, görüşürüz.;7;1
good;iyi;/ɡʊd/;gud;This is a good idea.;Bu iyi bir fikir.;1;1
bad;kötü;/bæd/;bed;This is a bad day.;Bu kötü bir gün.;1;1
big;büyük;/bɪɡ/;big;This house is big.;Bu ev büyük.;1;1
small;küçük;/smɔːl/;smol;The cat is small.;Kedi küçük.;1;1
hot;sıcak;/hɑːt/;hat;The weather is hot.;Hava sıcak.;1;1
cold;soğuk;/koʊld/;kold;The water is cold.;Su soğuk.;1;1
fast;hızlı;/fæst/;fest;He runs fast.;O hızlı koşar.;1;1
slow;yavaş;/sloʊ/;slou;The car is slow.;Araba yavaş.;1;1
new;yeni;/nuː/;nu;I have a new phone.;Yeni bir telefonum var.;1;1
old;eski;/oʊld/;old;This building is old.;Bu bina eski.;1;1
happy;mutlu;/ˈhæp.i/;hepi;She is happy.;O mutlu.;7;1
sad;üzgün;/sæd/;sed;He is sad.;O üzgün.;7;1
love;sevmek;/lʌv/;lav;I love you.;Seni seviyorum.;7;1
like;beğenmek;/laɪk/;layk;I like coffee.;Kahve severim.;7;1
want;istemek;/wɑːnt/;vant;I want water.;Su istiyorum.;1;1
need;ihtiyaç duymak;/niːd/;niid;I need help.;Yardıma ihtiyacım var.;1;1
go;gitmek;/ɡoʊ/;gou;I go to work.;İşe giderim.;1;1
come;gelmek;/kʌm/;kam;Come here.;Buraya gel.;1;1
see;görmek;/siː/;sii;I see you.;Seni görüyorum.;1;1
look;bakmak;/lʊk/;luk;Look at the sky.;Gökyüzüne bak.;1;1
eat;yemek;/iːt/;iit;I eat breakfast.;Kahvaltı yaparım.;1;1
drink;içmek;/drɪŋk/;drink;I drink tea.;Çay içerim.;1;1
sleep;uyumak;/sliːp/;sliip;I sleep at night.;Gece uyurum.;1;1
work;çalışmak;/wɜːrk/;ورک (vörk);I work every day.;Her gün çalışırım.;2;1
